Pitch,Name,Freq
21,An0,27.5
22,Bb0,29.14
23,Bn0,30.86
24,Cn1,32.7
25,C#1,34.65
26,Dn1,36.71
27,Eb1,38.89
28,En1,41.2
29,Fn1,43.65
30,F#1,46.25
31,Gn1,48.99
32,G#1,51.91
33,An1,55.01
34,Bb1,58.27
35,Bn1,61.74
36,Cn2,65.41
37,C#2,69.29
38,Dn2,73.42
39,Eb2,77.78
40,En2,82.41
41,Fn2,87.31
42,F#2,92.49
43,Gn2,97.99
44,G#2,103.83
45,An2,110
46,Bb2,116.54
47,Bn2,123.47
48,Cn3,130.81
49,C#3,138.59
50,Dn3,146.83
51,Eb3,155.56
52,En3,164.81
53,Fn3,174.61
54,F#3,185
55,Gn3,196
56,G#3,207.65
57,An3,220
58,Bb3,233.08
59,Bn3,246.94
60,Cn4,261.63
61,C#4,277.18
62,Dn4,293.67
63,Eb4,311.13
64,En4,329.63
65,Fn4,349.23
66,F#4,369.99
67,Gn4,392
68,G#4,415.3
69,An4,440
70,Bb4,466.16
71,Bn4,493.88
72,Cn5,523.25
73,C#5,554.37
74,Dn5,587.33
75,Eb5,622.25
76,En5,659.26
77,Fn5,698.46
78,F#5,739.99
79,Gn5,783.99
80,G#5,830.61
81,An5,880
82,Bb5,932.22
83,Bn5,987.77
84,Cn6,1046.5
85,C#6,1108.7
86,Dn6,1174.7
87,Eb6,1244.5
88,En6,1318.5
89,Fn6,1396.9
90,F#6,1480
91,Gn6,1568
92,G#6,1661.2
93,An6,1760
94,Bb6,1864.7
95,Bn6,1975.5
96,Cn7,2093
97,C#7,2217.5
98,Dn7,2349.3
99,Eb7,2489
100,En7,2637
101,Fn7,2793
102,F#7,2960
103,Gn7,3136
104,G#7,3322.4
105,An7,3520
106,Bb7,3729.3
107,Bn7,3951.1
108,Cn8,4186